date,Fear,Joy,Sadness,Surprise
2021_09_03,0.534,0.226,0.134,0.106
2021_09_04,0.544,0.172,0.134,0.15
2021_09_05,0.558,0.192,0.142,0.108
2021_09_06,0.544,0.2,0.16,0.096
2021_09_07,0.58,0.208,0.128,0.084
2021_09_08,0.514,0.226,0.166,0.094
2021_09_09,0.672,0.16,0.064,0.104
2021_09_10,0.638,0.176,0.114,0.072
2021_09_11,0.576,0.17,0.144,0.11
2021_09_12,0.584,0.166,0.146,0.104
2021_09_13,0.592,0.168,0.104,0.136
2021_09_14,0.564,0.212,0.106,0.118
2021_09_15,0.556,0.198,0.134,0.112
2021_09_16,0.608,0.216,0.086,0.09
2021_09_17,0.532,0.21,0.132,0.126
2021_09_18,0.558,0.208,0.146,0.088
2021_09_19,0.566,0.172,0.144,0.118
2021_09_20,0.574,0.208,0.134,0.084
2021_09_21,0.592,0.222,0.096,0.09
2021_09_22,0.538,0.216,0.13,0.116
2021_09_23,0.538,0.24,0.132,0.09
